estate_id,date,phase,block,floor,flat,rooms,area_sqft,price,price_per_sqft,source
4,2026-04-24,1期(樂湖居),19座,高層,J,2房,700,6073200,8676,land_registry
4,2025-12-30,7期(景湖居),18座,中層,J,3房,530,4739260,8942,land_registry
4,2025-08-28,5期(麗湖居),2座,高層,L,2房,400,2600400,6501,centanet
5,2025-09-30,2期,昇悅居B座,中層,A,3房,750,11978250,15971,land_registry
5,2026-03-10,1期,昇悅居C座,低層,G,3房,400,5414800,13537,land_registry
5,2026-04-27,1期,昇悅居A座,高層,K,1房,304,4495856,14789,centanet
5,2026-06-04,1期,昇悅居A座,高層,B,1房,600,9166200,15277,land_registry
5,2025-11-28,2期,昇悅居B座,高層,B,3房,550,10166200,18484,centanet
5,2025-10-22,1期,昇悅居B座,低層,E,2房,350,5862850,16751,centanet
5,2025-09-12,1期,昇悅居A座,低層,F,1房,465,6382590,13726,land_registry
5,2026-01-19,2期,昇悅居A座,中層,C,1房,450,7465500,16590,land_registry
5,2025-10-05,2期,昇悅居A座,低層,B,3房,350,6127100,17506,land_registry
5,2026-08-16,2期,昇悅居A座,中層,F,2房,350,4889850,13971,land_registry
5,2026-08-06,2期,昇悅居B座,中層,K,1房,700,12898900,18427,centanet
5,2025-09-29,1期,昇悅居C座,低層,J,1房,600,8602200,14337,centanet
5,2025-12-17,2期,昇悅居C座,低層,C,1房,750,12091500,16122,centanet
5,2025-09-22,2期,昇悅居A座,高層,L,2房,465,8848485,19029,centanet
5,2025-12-16,1期,昇悅居A座,高層,K,2房,650,9196850,14149,centanet
5,2026-03-15,2期,昇悅居B座,低層,K,1房,600,10906800,18178,land_registry
5,2026-05-06,2期,昇悅居A座,中層,J,2房,304,4582192,15073,centanet
5,2026-07-29,2期,昇悅居A座,高層,L,1房,350,5845700,16702,land_registry
5,2025-11-22,1期,昇悅居B座,低層,H,3房,530,8523990,16083,centanet
5,2026-07-09,1期,昇悅居B座,高層,B,2房,600,11517000,19195,land_registry
6,2026-05-24,5座,宇晴軒D座,高層,E,3房,700,14286300,20409,land_registry
6,2026-08-09,2座,宇晴軒A座,低層,K,2房,650,10620350,16339,land_registry
6,2025-12-16,3座,宇晴軒C座,低層,B,3房,750,11729250,15639,centanet
6,2025-10-25,3座,宇晴軒B座,中層,E,3房,350,6587700,18822,land_registry
6,2026-04-28,2座,宇晴軒C座,中層,D,2房,450,7420500,16490,land_registry
6,2025-09-18,1座,宇晴軒D座,中層,F,2房,600,8783400,14639,centanet
6,2026-02-07,3座,宇晴軒D座,低層,K,2房,650,9528350,14659,centanet
6,2026-06-01,3座,宇晴軒C座,中層,K,2房,284,5706696,20094,land_registry
6,2026-01-09,1座,宇晴軒C座,低層,C,3房,284,5137844,18091,land_registry
6,2025-10-30,5座,宇晴軒A座,中層,F,2房,800,12714400,15893,centanet
6,2025-12-26,1座,宇晴軒A座,高層,E,1房,465,9328830,20062,land_registry
6,2026-06-04,5座,宇晴軒D座,高層,K,3房,650,11633700,17898,land_registry
6,2025-10-30,2座,宇晴軒C座,低層,D,1房,650,12499500,19230,land_registry
6,2026-01-22,1座,宇晴軒A座,中層,G,2房,750,11430750,15241,land_registry
6,2025-10-26,3座,宇晴軒A座,低層,D,1房,304,5225152,17188,centanet
7,2025-11-21,1期,泓景臺A座,低層,J,1房,600,9990600,16651,land_registry
7,2026-02-01,1期,泓景臺C座,中層,F,1房,304,5090176,16744,centanet
7,2026-04-03,2期,泓景臺C座,高層,B,2房,650,9944350,15299,land_registry
7,2026-05-12,2期,泓景臺A座,低層,A,1房,600,9262800,15438,centanet
7,2026-02-11,2期,泓景臺C座,中層,C,1房,650,8715200,13408,land_registry
7,2026-04-20,1期,泓景臺A座,高層,H,2房,284,3640312,12818,centanet
7,2026-07-17,1期,泓景臺B座,中層,D,2房,450,7562250,16805,land_registry
7,2025-09-26,2期,泓景臺B座,低層,L,1房,550,9710800,17656,centanet
7,2025-10-19,2期,泓景臺C座,中層,G,3房,800,13736800,17171,land_registry
7,2026-05-21,2期,泓景臺A座,中層,B,3房,530,7528650,14205,centanet
7,2026-07-14,1期,泓景臺C座,中層,G,2房,284,3387552,11928,centanet
7,2026-02-26,2期,泓景臺B座,中層,D,1房,350,5616800,16048,centanet
7,2026-01-14,2期,泓景臺A座,低層,C,1房,350,5121200,14632,centanet
7,2026-07-24,1期,泓景臺C座,低層,J,1房,530,6731000,12700,land_registry
7,2025-09-12,1期,泓景臺C座,高層,A,1房,700,11036200,15766,centanet
7,2026-03-17,2期,泓景臺C座,高層,A,1房,650,9343100,14374,centanet
7,2026-03-23,1期,泓景臺B座,低層,E,2房,465,6326790,13606,land_registry
7,2026-05-20,1期,泓景臺A座,中層,K,3房,700,8929200,12756,centanet
8,2026-05-06,5座,碧海藍天C座,中層,K,2房,700,12366900,17667,land_registry
8,2026-06-05,3座,碧海藍天B座,中層,F,3房,650,10326550,15887,land_registry
8,2025-12-06,1座,碧海藍天B座,高層,K,3房,530,9002050,16985,centanet
8,2025-09-09,2座,碧海藍天B座,中層,K,3房,530,7999820,15094,land_registry
8,2026-06-18,2座,碧海藍天A座,中層,L,1房,550,11073700,20134,land_registry
8,2025-12-24,3座,碧海藍天B座,中層,K,3房,550,9958850,18107,land_registry
8,2026-03-04,2座,碧海藍天D座,高層,H,3房,650,12212200,18788,land_registry
8,2025-09-22,2座,碧海藍天A座,中層,C,1房,600,9274200,15457,centanet
8,2025-09-07,5座,碧海藍天A座,低層,E,1房,650,10162750,15635,centanet
8,2025-11-13,3座,碧海藍天B座,高層,C,2房,465,6607185,14209,land_registry
8,2026-03-04,3座,碧海藍天D座,高層,E,1房,600,11416200,19027,centanet
8,2026-04-28,2座,碧海藍天A座,中層,A,3房,304,4828128,15882,centanet
